Season,League,Player,Team,Age,Position,Goal-Scoring,Assist-Creation,Attack,Dribbling,Possession,Defense,Physical,Goalkeeping,PosRank,Grade,Sale,Cost
2025/26,Liga Portugal,Thiago Carvalho,Vitória SC,23,CB,75.4,32.44,60.83,53.23,44.56,65.86,63.1,0,18,B,,600000
2025/26,Liga Portugal,Óscar Rivas,Vitória SC,26,CB,59.68,32.44,63.25,78.23,61.29,47.04,70.97,0,19,B,,
2025/26,Liga Portugal,Miguel Nóbrega,Vitória SC,26,CB,81.65,32.44,62.44,57.53,36.29,16.4,26.81,0,54,E,,0
2025/26,Liga Portugal,R. Abascal,Vitória SC,32,CB,54.64,82.79,61.29,63.44,83.06,34.54,45.97,0,22,C,,0
2025/26,Liga Portugal,Christian Marques,Tondela,23,CB,18.35,32.44,24.42,32.8,35.89,32.66,19.96,0,59,F,,0
2025/26,Liga Portugal,B. Medina,Tondela,24,CB,52.82,63.35,55.41,42.74,23.79,67.88,55.85,0,27,C,,2500000
2025/26,Liga Portugal,João Silva,Tondela,27,CB,73.39,32.44,46.66,36.29,36.9,53.36,38.51,0,43,C,,
2025/26,Liga Portugal,Z. Debast,Sporting CP,22,CB,22.38,86.44,55.65,80.11,95.77,37.1,55.85,0,17,B,,
2025/26,Liga Portugal,O. Diomandé,Sporting CP,22,CB,56.05,49.58,60.94,56.99,62.9,31.59,55.04,0,36,C,,
2025/26,Liga Portugal,Gonçalo Inácio,Sporting CP,24,CB,59.68,89.31,62.21,63.71,91.13,34.41,58.67,0,13,B,,
2025/26,Liga Portugal,Eduardo Quaresma,Sporting CP,24,CB,72.58,89.67,75,79.57,93.35,44.49,62.7,0,2,A,,
2025/26,Liga Portugal,Gabriel Moscardo,SC Braga,20,CB,50.81,71.84,71.77,74.46,46.17,59.41,77.62,0,9,B,,
2025/26,Liga Portugal,B. Arrey-Mbi,SC Braga,23,CB,12.7,53.63,22.58,25.27,51.21,41.67,37.5,0,56,E,,
2025/26,Liga Portugal,S. Niakaté,SC Braga,26,CB,55.65,55.82,65.21,54.84,73.79,45.7,60.89,0,20,B,,
2025/26,Liga Portugal,G. Lagerbielke,SC Braga,26,CB,79.03,45.34,53.11,33.33,67.74,40.99,50.2,0,33,C,,2500000
2025/26,Liga Portugal,Vitor Carvalho,SC Braga,29,CB,81.65,88.51,62.44,36.29,49.6,48.39,45.97,0,23,C,,
2025/26,Liga Portugal,Henrique Silva,Santa Clara,20,CB,30.24,32.44,36.41,44.89,31.85,52.55,28.83,0,53,D,,
2025/26,Liga Portugal,Sidney Lima,Santa Clara,29,CB,46.77,48.83,60.71,71.77,44.76,38.44,47.18,0,40,C,,
2025/26,Liga Portugal,Frederico Venâncio,Santa Clara,33,CB,55.24,59.05,44.12,33.33,59.68,59.95,53.23,0,26,C,,
2025/26,Liga Portugal,Luís Rocha,Santa Clara,39,CB,22.18,32.44,29.15,38.71,44.35,15.05,31.85,0,60,F,0,
2025/26,Liga Portugal,Gustavo Mancha,Rio Ave,21,CB,35.08,52.6,42.63,32.8,68.95,47.04,62.5,0,34,C,,
2025/26,Liga Portugal,Nelson Abbey,Rio Ave,22,CB,14.52,70.34,58.18,93.28,22.18,40.59,67.14,0,37,C,,0
2025/26,Liga Portugal,F. Petrasso,Rio Ave,24,CB,27.22,48.83,41.71,44.89,31.05,30.24,49.6,0,55,E,,
2025/26,Liga Portugal,J. Panzo,Rio Ave,25,CB,35.48,32.44,42.51,52.15,34.48,81.99,55.65,0,25,C,,
2025/26,Liga Portugal,J. Brabec,Rio Ave,33,CB,46.98,43.19,38.94,38.17,52.42,56.05,39.92,0,41,C,,0
2025/26,Liga Portugal,J. Kiwior,Porto,26,CB,45.97,59.4,62.1,73.12,64.11,64.52,87.1,0,5,A,,19000000
2025/26,Liga Portugal,J. Bednarek,Porto,30,CB,55.24,50.13,43.78,48.12,79.03,68.82,75.2,0,8,B,,7500000
